檔案名稱,寫入資料表
嘉義區監理所114年路線資料_一般公路客運路線.xlsx,dmv_routes_2025
嘉義區監理所114年路線資料_國道客運路線.xlsx,dmv_routes_2025
新竹區監理所114年路線資料_一般公路客運路線.xlsx,dmv_routes_2025
新竹區監理所114年路線資料_國道客運路線.xlsx,dmv_routes_2025
臺中區監理所114年路線資料_一般公路客運路線.xlsx,dmv_routes_2025
臺中區監理所114年路線資料_國道客運路線.xlsx,dmv_routes_2025
臺北區監理所114年路線資料 _一般公路客運路線.xlsx,dmv_routes_2025
臺北區監理所114年路線資料 _國道客運路線.xlsx,dmv_routes_2025
臺北市區監理所114年路線資料_一般公路客運路線.xlsx,dmv_routes_2025
臺北市區監理所114年路線資料_國道客運路線.xlsx,dmv_routes_2025
高雄區監理所114年路線資料_一般客運路線.xlsx,dmv_routes_2025
